date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:09	681/681	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2001%20May%202021%2013:05:08%20GMT	https://goldd.in/robots.txt		(from )
18:35:09	496457/496457	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20May%202021%2013:05:08%20GMT	https://goldd.in/	C:/xampp/htdocs/Gold/goldd.in/index.html	(from )
18:35:10	48649/48649	---M--	200	added ('OK')	text/css	etag:%223d830ca-be09-5b4758a4c9000%22	https://goldd.in//assets/lib/fontawesome-free/css/all.min.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/fontawesome-free/css/all.min.css	(from https://goldd.in/)
18:35:11	46588/46588	---M--	200	added ('OK')	text/css	etag:%223d82f4c-b5fc-5b4758a4c9000%22	https://goldd.in//assets/lib/ionicons/css/ionicons.min.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ionicons/css/ionicons.min.css	(from https://goldd.in/)
18:35:11	22614/22614	---M--	200	added ('OK')	text/css	etag:%223da2f0f-5856-5b4758a4c9000%22	https://goldd.in//assets/lib/typicons.font/typicons.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/typicons.font/typicons.css	(from https://goldd.in/)
18:35:11	14921/14921	---M--	200	added ('OK')	text/css	etag:%223d8364f-3a49-5b4758a4c9000%22	https://goldd.in//assets/lib/spectrum-colorpicker/spectrum.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/spectrum-colorpicker/spectrum.css	(from https://goldd.in/)
18:35:12	15180/15180	---M--	200	added ('OK')	text/css	etag:%223d836a9-3b4c-5b4758a4c9000%22	https://goldd.in//assets/lib/select2/css/select2.min.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/select2/css/select2.min.css	(from https://goldd.in/)
18:35:12	3428/3428	---M--	200	added ('OK')	text/css	etag:%223d826d8-d64-5b4758a4c9000%22	https://goldd.in//assets/lib/ion-rangeslider/css/ion.rangeSlider.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ion-rangeslider/css/ion.rangeSlider.css	(from https://goldd.in/)
18:35:12	2206/2206	---M--	200	added ('OK')	text/css	etag:%223d826dc-89e-5b4758a4c9000%22	https://goldd.in//assets/lib/ion-rangeslider/css/ion.rangeSlider.skinFlat.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/ion-rangeslider/css/ion.rangeSlider.skinFlat.css	(from https://goldd.in/)
18:35:12	5914/5914	---M--	200	added ('OK')	text/css	etag:%223da2ea7-171a-5b4758a4c9000%22	https://goldd.in//assets/lib/amazeui-datetimepicker/css/amazeui.datetimepicker.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/amazeui-datetimepicker/css/amazeui.datetimepicker.css	(from https://goldd.in/)
18:35:13	7618/7618	---M--	200	added ('OK')	text/css	etag:%223d830bd-1dc2-5b4758a4c9000%22	https://goldd.in//assets/lib/jquery-simple-datetimepicker/jquery.simple-dtpicker.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/jquery-simple-datetimepicker/jquery.simple-dtpicker.css	(from https://goldd.in/)
18:35:13	4809/4809	---M--	200	added ('OK')	text/css	etag:%223d836a6-12c9-5b4758a4c9000%22	https://goldd.in//assets/lib/pickerjs/picker.min.css	C:/xampp/htdocs/Gold/goldd.in/assets/lib/pickerjs/picker.min.css	(from https://goldd.in/)
18:35:13	62/62	---MCZ	302	error ('Found')	text/plain	date:Sat,%2001%20May%202021%2013:05:12%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/xampp/htdocs/Gold/unpkg.com/sweetalert/dist/sweetalert.min.a.delayed	(from https://goldd.in/)
18:35:13	40808/40808	---MCZ	200	added ('OK')	application/javascript	etag:%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	C:/xampp/htdocs/Gold/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from https://goldd.in/)
18:35:14	189/189	---M--	200	added ('OK')	application/javascript	etag:%223da2fe9-bd-5b62a7a0b5d00%22	https://goldd.in//assets/jsfile/chartd.js	C:/xampp/htdocs/Gold/goldd.in/assets/jsfile/chartd.js	(from https://goldd.in/)
18:35:14	305/305	---M--	200	added ('OK')	application/javascript	etag:%223da2fe4-131-5b62a7a29e180%22	https://goldd.in//assets/jsfile/getdat.js	C:/xampp/htdocs/Gold/goldd.in/assets/jsfile/getdat.js	(from https://goldd.in/)
18:35:14	297/297	---M--	200	added ('OK')	application/javascript	etag:%223da2fe6-129-5b669fd1e5c80%22	https://goldd.in//assets/jsfile/ppdate.js	C:/xampp/htdocs/Gold/goldd.in/assets/jsfile/ppdate.js	(from https://goldd.in/)
18:35:15	3713/3713	---M--	200	added ('OK')	application/javascript	etag:%223da2fe7-e81-5b62a7a29e180%22	https://goldd.in//assets/jsfile/rtable.js	C:/xampp/htdocs/Gold/goldd.in/assets/jsfile/rtable.js	(from https://goldd.in/)
18:35:15	94/94	---M--	200	added ('OK')	application/javascript	etag:%223da2fea-5e-5b62a7a29e180%22	https://goldd.in//assets/jsfile/delay.js	C:/xampp/htdocs/Gold/goldd.in/assets/jsfile/delay.js	(from https://goldd.in/)
18:35:15	582/582	---M--	200	added ('OK')	application/javascript	etag:%223da2fe3-246-5b62a7a29e180%22	https://goldd.in//assets/jsfile/getres.js	C:/xampp/htdocs/Gold/goldd.in/assets/jsfile/getres.js	(from https://goldd.in/)
